projectId,isOn,trustProductName,proectIssueCode,trustCompanyName,trustCompanyShortName,trustTremType,trustPropertyApplicationDesc,trustPropertyManagementDesc,issueCodeDate,publicityTime,registrationTime
1169,1,粤财信托·昭信一号证券投资集合资金信托计划,ZXD32G201709010009958,广东粤财信托有限公司,粤财信托,12,金融业,股票投资,2017-09-13,2017-11-20,2017-11-02
731,1,华鑫信托·民鑫20号证券投资集合资金信托计划,ZXD39H201709110005600,华鑫国际信托有限公司,华鑫信托,12,金融业,股票投资,2017-09-08,2017-11-21,2017-11-10
276,1,交银国信·汇利180号集合资金信托计划,ZXD34J201709110001101,交银国际信托有限公司,交银信托,120,金融业,"债券投资,公募基金",2017-09-04,2017-11-22,2017-11-06
6248,1,中铁信托·锦瑞1711期集合资金信托计划,ZXD43Z201710010023596,中铁信托有限责任公司,中铁信托,24,房地产业,信托贷款,2017-10-26,2017-11-23,2017-11-13
4917,1,中航信托·天启【2017】258号航安集合资金信托计划第14期信托单位,ZXD37Z201710010010415,中航信托股份有限公司,中航信托,57,房地产业,资产收益权（不附回购）,2017-10-17,2017-11-23,2017-11-17
4913,1,中航信托·天启【2017】258号航安集合资金信托计划第13期信托单位,ZXD37Z201710010010370,中航信托股份有限公司,中航信托,45,房地产业,资产收益权（不附回购）,2017-10-17,2017-11-23,2017-11-17
4900,1,中国民生信托-汇博1号集合资金信托计划,ZXD35Z201710010010246,中国民生信托有限公司,民生信托,36,金融业,债券投资,2017-10-17,2017-11-23,2017-11-16
4890,1,华鑫信托·智选9号证券投资集合资金信托计划,ZXD39H201710110010142,华鑫国际信托有限公司,华鑫信托,30.1,金融业,股票投资,2017-10-17,2017-11-23,2017-11-09
4471,1,厦门信托-信聚金开1705号南通衡美威尼斯集合资金信托计划,ZXD33X201710010006011,厦门国际信托有限公司,厦门信托,24,房地产业,信托贷款,2017-10-13,2017-11-23,2017-11-20
4357,1,中铁信托·优债1720期中科建集合资金信托计划,ZXD43Z201710010004885,中铁信托有限责任公司,中铁信托,36,建筑业,其他债权资产,2017-10-12,2017-11-23,2017-11-17
4230,1,华宝—浦发国金证券1号集合资金信托计划,ZXD34H201710110003622,华宝信托有限责任公司,华宝信托,12,租赁和商务服务业,特定资产及其收（受）益权附回购,2017-10-11,2017-11-23,2017-11-15
4183,1,2017年中诚信托汇诚2号集合资金信托计划,ZXD32Z201710010003157,中诚信托有限责任公司,中诚信托,60,其他,信托贷款,2017-10-11,2017-11-23,2017-11-10
3385,1,中航信托·天翼系列债券投资集合资金信托计划第166期信托单位,ZXD37Z201709010031957,中航信托股份有限公司,中航信托,21.4,金融业,资产收益权（不附回购）,2017-09-28,2017-11-23,2017-11-08
7597,1,中国民生信托-至信414号民赢19号证券投资集合资金信托计划,ZXD35Z201711010006746,中国民生信托有限公司,民生信托,12.1,金融业,股票投资,2017-11-07,2017-11-27,2017-11-21
6393,1,中铁信托·楚秀1702期集合资金信托计划,ZXD43Z201710010025043,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-10-27,2017-11-17,2017-11-14
6392,1,中铁信托·楚秀1701期集合资金信托计划,ZXD43Z201710010025034,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-10-27,2017-11-17,2017-11-14
6252,1,中铁信托·锦荣1701期集合资金信托计划,ZXD43Z201710010023630,中铁信托有限责任公司,中铁信托,6,"金融业,租赁和商务服务业",信托贷款,2017-10-26,2017-11-17,2017-11-14
6251,1,中铁信托·锦辉1702期集合资金信托计划,ZXD43Z201710010023621,中铁信托有限责任公司,中铁信托,6,"金融业,租赁和商务服务业",信托贷款,2017-10-26,2017-11-17,2017-11-14
6250,1,中铁信托·锦辉1701期集合资金信托计划,ZXD43Z201710010023612,中铁信托有限责任公司,中铁信托,6,"金融业,租赁和商务服务业",信托贷款,2017-10-26,2017-11-17,2017-11-14
4012,1,百瑞富诚346号集合资金信托计划（西南交投）,ZXD31B201710010001445,百瑞信托有限责任公司,百瑞信托,36,水利、环境和公共设施管理业,信托贷款,2017-10-10,2017-11-28,2017-11-10
2953,1,四川信托-东郡璟园项目结构化集合资金信托计划,ZXD36S201709010027663,四川信托有限公司,四川信托,24,房地产业,长期股权投资,2017-09-26,2017-11-28,2017-11-17
913,1,全球慧赢二十一号集合资金信托计划第441期信托单位,ZXD31P201709010007419,平安信托有限责任公司,平安信托,120,金融业,其他债权资产,2017-09-12,2017-11-17,2017-10-30
500,1,中海-海洋之星41号二期集合资金信托计划,ZXD36Z201709110003326,中海信托股份有限公司,中海信托,120,金融业,债券投资,2017-09-07,2017-11-27,2017-11-16
2996,1,江苏信托·江苏城镇化建设一百二十期（常州天宁）集合资金信托计划,ZXD33J201709010028098,江苏省国际信托有限责任公司,江苏信托,27,水利、环境和公共设施管理业,信托贷款,2017-09-26,2017-10-25,2017-10-20
2521,1,中国民生信托-至信402号民赢13号证券投资集合资金信托计划,ZXD35Z201709010023362,中国民生信托有限公司,民生信托,12.1,金融业,股票投资,2017-09-22,2017-10-25,2017-10-17
1982,1,新华信托华睿系列·渝和2号贷款集合资金信托计划,ZXD34X201709110018000,新华信托股份有限公司,新华信托,12,批发和零售业,信托贷款,2017-09-19,2017-10-25,2017-10-18
1873,1,厦门信托-趣店2017第十期个人消费贷款集合资金信托计划,ZXD33X201709110016932,厦门国际信托有限公司,厦门信托,12,其他,信托贷款,2017-09-19,2017-10-25,2017-10-17
1864,1,交银国信·集通69号集合资金信托计划,ZXD34J201709110016846,交银国际信托有限公司,交银信托,12,租赁和商务服务业,信托贷款,2017-09-19,2017-10-25,2017-10-18
1727,1,川信·趣渝1号财产权信托,ZXD36S201709111015475,四川信托有限公司,四川信托,12,科学研究和技术服务业,实物及其他资产,2017-09-18,2017-10-25,2017-10-20
1307,1,云信新安23号（浙融）集合资金信托计划,ZXD32Y201709010011324,云南国际信托有限公司,云南信托,30,金融业,资产收益权（不附回购）,2017-09-14,2017-10-26,2017-10-12
1238,1,光大信托-广州承兴24号应收账款集合资金信托计划,ZXD31G201709110010649,光大兴陇信托有限责任公司,光大信托,12,租赁和商务服务业,特定资产及其收（受）益权附回购,2017-09-13,2017-10-26,2017-10-18
1234,1,陕国投·昌丰5号证券投资集合资金信托计划,ZXD33S201709110010608,陕西省国际信托股份有限公司,陕西信托,12,制造业,股票投资,2017-09-13,2017-10-26,2017-10-13
701,1,国民信托丰利23号事务管理集合资金信托计划,ZXD34G201709110005309,国民信托有限公司,国民信托,12,金融业,资产收益权（不附回购）,2017-09-08,2017-10-25,2017-10-20
7468,1,合顺30号集合资金信托计划,ZXD32Y201711010005463,云南国际信托有限公司,云南信托,12,金融业,股票投资,2017-11-06,2017-11-28,2017-11-23
7373,1,重庆信托-麒麟投资1号集合资金信托计划,ZXD33C201711010004539,重庆国际信托股份有限公司,重庆信托,12,金融业,股票投资,2017-11-03,2017-11-28,2017-11-23
7257,1,国民信托安民25号集合资金信托计划,ZXD34G201711010003371,国民信托有限公司,国民信托,12,金融业,股票投资,2017-11-03,2017-11-28,2017-11-17
5818,1,陕国投·正灏71号证券投资集合资金信托计划,ZXD33S201710110019346,陕西省国际信托股份有限公司,陕西信托,24,金融业,股票投资,2017-10-24,2017-11-28,2017-11-21
5817,1,中国民生信托-汇鑫5号集合资金信托计划,ZXD35Z201710010019338,中国民生信托有限公司,民生信托,36,金融业,债券投资,2017-10-24,2017-11-28,2017-11-16
